item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3
21st Birthday Party Decorations for Him, Insulated Can Coolers for Birthday Party Favors for Men, Soda and Beer Sleeves Birthday Party Supplies for Guys, 12-Pack, Black & Gold	Live large at 21 and celebrate with the perfect party decoration while crackin' a couple of cold ones! Get this 12-pack of premium beer can sleeves for a loved one's upcoming 21st birthday celebration and enjoy with friends and family. Made with polyurethane foam these sleeves are perfect for keeping your beverages at the right temperature. From cans, bottles, and cups you can make sure that your beers or sodas stay icy cold so that nothing, not even stale drinks, can interrupt the fun. Drink to your fill with the perfect party decorations for both men and women during what could be the best time of your life. Here's to 21 years and countless cheers!	0915XC1L9WY	21CANCOOLERS12PK-NEW	17.99		2020-09-15 06:59:39 PDT		y	1			11				B08CD3RRN2						B08CD3RRN2				AMAZON_NA	17.89												Migrated Template							
Happy 30th Birthday Decorations for Him, Dirty Thirty Birthday Beverage Can Cooler Sleeves, Insulated Holder Gift Ideas and Party Favors for Men, 12-Pack, Black & Gold	Live large at 30 and celebrate with the perfect party decoration while crackin' a couple of cold ones! Get this 12-pack of premium beer can sleeves for a loved one's upcoming 30th birthday celebration and enjoy with friends and family. Made with polyurethane foam these sleeves are perfect for keeping your beverages at the right temperature. From cans, bottles, and cups you can make sure that your beers or sodas stay icy cold so that nothing, not even stale drinks, can interrupt the fun. Drink to your fill with the perfect party decorations for both men and women during what could be the best time of your life. Here's to 30 years and countless cheers!	0804XPVQ96X	30THCANCOOLERS12PK-NEW	17.99		2020-08-04 11:44:26 PDT		y	1			11				B07TLYBGV7						B07TLYBGV7				AMAZON_NA													Migrated Template							
Happy 40th Birthday Decorations for Men, Insulated Can Beverage Sleeve, Birthday Party Favors for Him, 40 Year Old Birthday Gift Ideas, 12-Pack, Black & Gold	Get the party going at 40 and celebrate with the perfect party decoration while crackin' a couple of cold ones! Bring this 12-pack of premium beer can sleeves to a loved one's upcoming 40th birthday celebration and enjoy with friends and family. Made with polyurethane foam these sleeves are perfect for keeping your beverages at the right temperature. From cans, bottles, and cups you can make sure that your beers or sodas stay icy cold so that nothing, not even stale drinks, can interrupt the fun. Drink to your fill with the perfect party decorations for both men and women during what could be the best time of your life. Here's to 40 years and countless cheers!	0804XQF3B1R	40THCANCOOLERS12PK-NEW	17.99		2020-08-04 11:45:46 PDT		y	1			11				B07SFXXJKL						B07SFXXJKL				AMAZON_NA	17.89												Migrated Template							
Happy 50th Birthday Party Decorations for Men, Insulated Can Coolers as Dad's Birthday Decorations and Party Favors, Beer Sleeves 50th Birthday Gifts for Men, 12-Pack, Black & Gold	Bring your best at 50 and celebrate with the perfect party decoration while crackin' a couple of cold ones! Get this 12-pack of premium beer can sleeves for dad's upcoming 50th birthday celebration and enjoy with friends and family. Made with polyurethane foam these sleeves are perfect for keeping your beverages at the right temperature. From cans, bottles, and cups you can make sure that your beers or sodas stay icy cold so that nothing, not even stale drinks, can interrupt the fun. Drink to your fill with the perfect party decorations for both men and women during what could be the best time of your life. Here's to 50 years and countless cheers!	0804XPQ5QIQ	50THCOOLERS12PK-NEW	17.99		2020-08-04 11:50:50 PDT		y	1			11				B07NLD3D9H						B07NLD3D9H				AMAZON_NA	17.89												Migrated Template							
60th Birthday Decor and Party Favors, Beverage Sleeves Gift for Dad's 60th Birthday Party, Decorations and Party Supply, 60s Birthday Decorations for Men, 12-Pack, Black & Gold	Keep the party going at 60 and celebrate with the perfect party decoration while crackin' a couple of cold ones! Get this 12-pack of premium beer can sleeves for dad's upcoming 60th birthday celebration and enjoy with friends and family. Made with polyurethane foam these sleeves are perfect for keeping your beverages at the right temperature. From cans, bottles, and cups you can make sure that your beers or sodas stay icy cold so that nothing, not even stale drinks, can interrupt the fun. Drink to your fill with the perfect party decorations for both men and women during what could be the best time of your life. Here's to 60 years and countless cheers!	0804XPV4R3I	60THCANCOOLERS12PK-NEW	17.99		2020-08-04 11:53:47 PDT		y	1			11				B07VBJ8G8F						B07VBJ8G8F				AMAZON_NA													Migrated Template							
Bachelor Party Decorations for Men - Groomsmen & Groom Beverage Can Cooler Sleeves & Party Game - Bachelor Party Favors for Wedding, Insulated Holders, 13 Pack, Black and Gold	<p><b>Why buy our adult games mens bachelor party supplies or groomsman gifts for wedding beverage coolers?</b></p><p>Every time you order one of our groom gifts 12-Pack of GROOM and TEAM GROOM theme bachelor favor can coolers with bonus bachelor party games called "Bachelor Party Challenges”, a horn blasts and all our employees stop what they're doing to give high-fives because the groom's wolfpack dudes who like to party rule! Wouldn't you love to hear that you and your bar games are the reason for our happy customer service department?! The perfect bachelor party idea for the guys and husband to be while the girls are out on their bachelorette party! Compliment the grooms bachelor party decor, shot glasses, engagement party decorations or groom banner, presents, boob straws, groomsmen sunglasses, groom to be sash, hats, sign, shirts, flask, centerpiece, balloons, backdrop, with these great can sleeve party favors for adults and for the man of the year along with the other cookout party supplies. </p><p>✔️ Avoid frostbites from your frosty beer!</p><p>✔️ Keep your beer chilled and just the way you like it! </p><p>✔️ Handy for stag parties, outdoor bachelor parties, wedding parties and more!</p><p>✔️ Perfect novelty bachelors party supplies gag gift for men, ladies, boss, dad, coworker and others</p><p>✔️ 24 x 7 Customer Support</p><p>✔️ High-Quality Material	0814VRAHNJM	BACHELOR13CANPK	17.99		2019-08-14 05:32:46 PDT		y	3			11				B07WDKX1K4						760939495024				AMAZON_NA	17.89												Migrated Template							
Dog Mom Beverage Can Coolers - Gifts for Dog Lovers & Dog Decorations for the Home - Insulated Drink Holders for Mom - Dog Paw Decoration Beer Cooler Sleeves for Women - 2-Pack, Grey	<p><b>Why buy our Dog Mom gifts for women beverage coolers?</b></p><p>Every time you order one of our dog lovers decorations for women 2-Pack of can coolers, a horn blasts and all our employees stop what they're doing to give high-fives because dog moms rule! Wouldn't you love to hear that you are the reason for our happy customer service department?! Compliment your dog mom accessories, dog lovers gifts, blankets, sweatpants, pajamas, matching outfits, signs, paintings, centerpiece, with these great can sleeve dog paw decorations for guests. </p><p>✔️ Avoid frostbites from your frosty beer!</p><p>✔️ Keep your beer chilled and just the way you like it! </p><p>✔️ Handy for dog parks, play dates, puppy parties, BBQ’s, camping, outdoors, festivals, beach parties, 4th of July décor, special events, fishing, Memorial Day, tailgating, bachelorette parties, picnics, birthdays and more!</p><p>✔️ Perfect novelty birthday gag gift for women, boss, mom, coworker and others</p><p>✔️ 24 x 7 Customer Support</p><p>✔️ High-Quality Material</p><p>100% Money Back Guaranteed if you do not like it return it. </p><p>What do you have to lose? </p><p><b>CLICK ON THE ADD TO CART BUTTON AND BUY NOW!!</b> 👆</p><p>Product Specifications:</p><p>- 1/8 Inch Thick<br>- Premium Printing<br>- Open Cell Polyurethane Foam<br>- Quantity - 2 PIECES</p>	0901X28YO0W	DOGMOM-2PK	8.99		2020-09-01 10:09:28 PDT		y	3			11				B08H5T4RCP						760939495062				AMAZON_NA	8.89												Migrated Template							
Firefighter Gifts for Men - Thin Red Line Beverage Can Cooler Sleeves, Fireman Gifts, Insulated Beer Holder with Red Stripe American Flag, Fire Department Gift Ideas, Fire Fighter Accessory, 6-Pack	<p><strong>Why buy our Throttleneck beverage cooler?</strong><br /> <br />Every time you order one of our Thin Red Line 6-Pack of Can Coolers, a fire house dept siren sounds and all our employees stop what they're doing to give high-fives because firemen rule. Wouldn't you love to hear that you are the reason for our happy customer service department?! <br /> <br /> <br />✔️ Avoid Frostbites<br />✔️ Keep your beer chilled and just the way you like it! <br />✔️ Handy for fire department parties, BBQ’s, camping, man cave accessory, outdoors, festivals, beach parties, 4th of July décor, stocking stuffers, special events, fishing, Memorial Day, tailgating, bachelor parties, picnics, birthdays and more!<br />✔️ Call it your Mini Fridge [It maintains the already cold temperature does not cool it for you, don't get me wrong] LOL.<br />✔️ Perfect novelty gift for firefighters, firemen, or going away gifts for the fire chief<br />✔️ 24 x 7 Customer Support<br />✔️ High-Quality Material<br /> <br /><strong>100% Money Back Guaranteed if you do not like it return it. </strong><br /> <br />If you would like&nbsp;to order more than 1 [6pack], email us on our seller account for a <strong>20% off coupon</strong>.<br /> <br /><strong>What do you have to lose? </strong><br /><strong>CLICK ON THE ADD TO CART BUTTON AND BUY NOW!! 👆</strong></p> <p><strong>Product Specifications: </strong></p> <ul> <li>1/8 Inch Thick</li> <li>Premium Sublimation Printing</li> <li>Open Cell Polyurethane Foam</li> </ul> <p><strong>Quantity - 6 PIECES</strong></p>	1205U75Q12C	GW-3I8L-Q5Q4	14.99		2018-12-04 18:59:26 PST		y	3			11				B07JRDYPF8						796258371824				AMAZON_NA	14.89												Migrated Template							
Happy Birthday Decorations for Men, Insulated Can Coolers, Birthday Party Decor and Party Favors for Him, Can Sleeves for Soda and Beer Birthday Gift for Dad, 12-Pack, Black & Gold	Legends never get older, but they definitely celebrate birthdays. For the legendary figures in your life, assure them a cold drink in hand no matter how many hands they shake. These fun birthday favor can coolers are great for keeping your drink cold so you can celebrate with the legends of life.	0915XBXE6VO	HBYL12PK-NEW	17.99		2020-09-15 07:01:16 PDT		y	1			11				B08CD3HTCF						B08CD3HTCF				AMAZON_NA	17.89												Migrated Template							
Police Officer Gifts for Men - Thin Blue Line Beverage Can Cooler Sleeves - Law Enforcement Blue Lives Matter Insulated Beer Holder with Blue Stripe American Flag - Police Department Ideas, 6-Pack	Why buy our Thin Blue Line Police beverage cooler? Every time you order one of these 6-Packs of Can Coolers, a police siren sounds and all our employees stop what they're doing to give high-fives because blue lives matter. Wouldn't you love to hear that you are the reason for our happy customer service department?	0120XD428JA	II-Z6VA-0B45	14.99		2020-01-20 08:58:07 PST		y	1			11				B07JQHNLFZ						B07JQHNLFZ				AMAZON_NA	14.89												Migrated Template							
